Actual_RUL,LSTM,GRU,Final_Prediction,Status
0.896,0.88687265,0.90513474,0.90513474,Healthy
0.784,0.86792314,0.89162916,0.89162916,Healthy
0.552,0.5023259,0.36472553,0.36472553,Warning
0.656,0.659631,0.7237104,0.7237104,Healthy
0.728,0.84334993,0.8964312,0.8964312,Healthy
0.744,0.84754527,0.9034461,0.9034461,Healthy
0.728,0.8149953,0.82646465,0.82646465,Healthy
0.76,0.82710314,0.84480506,0.84480506,Healthy
0.888,0.87666523,0.9068813,0.9068813,Healthy
0.768,0.77382135,0.8885328,0.8885328,Healthy
0.776,0.709723,0.5737013,0.5737013,Warning
0.992,0.7806211,0.6248457,0.6248457,Healthy
0.76,0.6154629,0.47970843,0.47970843,Warning
0.856,0.77144766,0.7127932,0.7127932,Healthy
0.664,0.79326355,0.69191104,0.69191104,Healthy
0.672,0.84546185,0.9029363,0.9029363,Healthy
0.4,0.46446455,0.44809228,0.44809228,Warning
0.224,0.32449174,0.28969777,0.28969777,Critical
0.696,0.81217206,0.58669776,0.58669776,Warning
0.128,0.26617712,0.21752147,0.21752147,Critical
0.456,0.46277946,0.39586294,0.39586294,Warning
0.888,0.8773817,0.9034164,0.9034164,Healthy
0.904,0.8885064,0.9075271,0.9075271,Healthy
0.16,0.29340965,0.24888104,0.24888104,Critical
1.0,0.87784934,0.8501114,0.8501114,Healthy
0.952,0.8572633,0.8712285,0.8712285,Healthy
0.528,0.8453276,0.84751046,0.84751046,Healthy
0.776,0.79279935,0.83560944,0.83560944,Healthy
0.72,0.77947384,0.7976181,0.7976181,Healthy
0.92,0.80030847,0.7783528,0.7783528,Healthy
0.064,0.24358666,0.20948021,0.20948021,Critical
0.384,0.45802486,0.47723168,0.47723168,Warning
0.848,0.75297165,0.9038612,0.9038612,Healthy
0.056,0.18946493,0.17494005,0.17494005,Critical
0.088,0.23558319,0.19895591,0.19895591,Critical
0.152,0.30565217,0.24926111,0.24926111,Critical
0.168,0.41388124,0.3171688,0.3171688,Warning
0.4,0.46692905,0.43525887,0.43525887,Warning
1.0,0.8894819,0.9010067,0.9010067,Healthy
